"titleBasicsId";"titleType";"primaryTitle";"originalTitle";"isAdult";"startYear";"endYear";"runTimeMinutes";"genres"
18962;"movie";"Der größte Gauner des Jahrhunderts";"Der größte Gauner des Jahrhunderts";0;"1928";"";0;""
18963;"movie";"Guardians of the Wild";"Guardians of the Wild";0;"1928";"";0;""
18964;"movie";"El guerrillero";"El guerrillero";0;"1928";"";0;""
18965;"movie";"The Gun Runner";"The Gun Runner";0;"1928";"";0;""
18966;"movie";"Guns of Loos";"Guns of Loos";0;"1928";"";84;""
18967;"movie";"Gustaf Wasa, Part One";"Gustaf Wasa del I";0;"1928";"";103;""
18968;"movie";"Gustaf Wasa, Part Two";"Gustaf Wasa del II";0;"1928";"";111;""
18969;"movie";"Gypsy of the North";"Gypsy of the North";0;"1928";"";0;""
18970;"short";"Habeas Corpus";"Habeas Corpus";0;"1928";"";20;""
18971;"movie";"Half a Bride";"Half a Bride";0;"1928";"";67;""
18972;"movie";"Hangman's House";"Hangman's House";0;"1928";"";80;""
18973;"movie";"Majestät schneidet Bubiköpfe";"Majestät schneidet Bubiköpfe";0;"1928";"";82;""
18974;"movie";"Happiness Ahead";"Happiness Ahead";0;"1928";"";80;""
18975;"movie";"Hara-Kiri";"Hara-Kiri";0;"1928";"";0;""
18976;"movie";"Harold Teen";"Harold Teen";0;"1928";"";80;""
18977;"movie";"Hattmakarens bal";"Hattmakarens bal";0;"1928";"";74;""
18978;"movie";"The Haunted House";"The Haunted House";0;"1928";"";70;""
18979;"movie";"Haunted Island";"Haunted Island";0;"1928";"";0;""
18980;"movie";"The Hawk's Nest";"The Hawk's Nest";0;"1928";"";80;""
18981;"movie";"The Head Man";"The Head Man";0;"1928";"";0;""
18982;"movie";"The Head of the Family";"The Head of the Family";0;"1928";"";0;""
18983;"movie";"Headin' for Danger";"Headin' for Danger";0;"1928";"";0;""
18984;"movie";"Heart Trouble";"Heart Trouble";0;"1928";"";60;""
18985;"movie";"The Heart of Broadway";"The Heart of Broadway";0;"1928";"";60;""
18986;"movie";"The Heart of a Follies Girl";"The Heart of a Follies Girl";0;"1928";"";70;""
18987;"movie";"Heart to Heart";"Heart to Heart";0;"1928";"";70;""
18988;"short";"Hectic Days";"Hectic Days";0;"1928";"";0;""
18989;"movie";"Die Heilige und ihr Narr";"Die Heilige und ihr Narr";0;"1928";"";0;""
18990;"movie";"Homecoming";"Heimkehr";0;"1928";"";78;""
